MeanB,MedianB,RMSB,FinalB
4.618002983660083,4.618002983660083,4.618002983660083,4.618002983660083
2.923712859672295,2.923712859672295,2.923712859672295,2.9237128596722948
6.011753194417436,6.011753194417436,6.011753194417436,6.011753194417435
6.814598618059579,6.814598618059579,6.814598618059579,6.81459861805958
8.752498407523557,8.752498407523557,8.752498407523557,8.752498407523557
9.086131490746103,9.086131490746103,9.086131490746103,9.086131490746103
4.760273900991071,4.760273900991071,4.760273900991071,4.760273900991071
4.246390692109548,4.246390692109548,4.246390692109548,4.246390692109548
8.003113580952064,8.003113580952064,8.003113580952064,8.003113580952064
6.532537672521038,6.532537672521038,6.532537672521038,6.532537672521038
3.979184594185356,3.979184594185356,3.979184594185356,3.9791845941853565
2.6158949853529028,2.6158949853529028,2.6158949853529028,2.6158949853529028
8.556751315749732,8.556751315749732,8.556751315749732,8.556751315749732
5.9946920004226065,5.9946920004226065,5.9946920004226065,5.9946920004226065
3.3441577420122104,3.3441577420122104,3.3441577420122104,3.3441577420122104
6.424434325400493,6.424434325400493,6.424434325400493,6.424434325400493
0.6135719910778963,0.6135719910778963,0.6135719910778963,0.6135719910778963
3.9596581586753183,3.9596581586753183,3.9596581586753183,3.959658158675319
5.225966575055625,5.225966575055625,5.225966575055625,5.225966575055625
5.054717896221373,5.054717896221373,5.054717896221373,5.054717896221373
8.180659104925683,8.180659104925683,8.180659104925683,8.180659104925683
5.017340174050922,5.017340174050922,5.017340174050922,5.017340174050922
7.243085236073384,7.243085236073384,7.243085236073384,7.243085236073384
3.1383331480416294,3.1383331480416294,3.1383331480416294,3.1383331480416294
3.8969422846059927,3.8969422846059927,3.8969422846059927,3.8969422846059927
8.19958645256452,8.19958645256452,8.19958645256452,8.19958645256452
3.9238424780293544,3.9238424780293544,3.9238424780293544,3.923842478029355
7.9084729649078405,7.9084729649078405,7.9084729649078405,7.9084729649078405
9.411764705882353,9.411764705882353,9.411764705882353,9.411764705882353
6.327618377024607,6.327618377024607,6.327618377024607,6.327618377024607
7.493665144709768,7.493665144709768,7.493665144709768,7.493665144709769
8.644297278120758,8.644297278120758,8.644297278120758,8.644297278120758
2.6858594212001914,2.6858594212001914,2.6858594212001914,2.6858594212001914
8.280547931655423,8.280547931655423,8.280547931655423,8.280547931655423
6.257231111000342,6.257231111000342,6.257231111000342,6.257231111000341
4.164107634000741,4.164107634000741,4.164107634000741,4.164107634000741
7.468503646166531,7.468503646166531,7.468503646166531,7.468503646166531
4.323269299898674,4.323269299898674,4.323269299898674,4.323269299898674
5.163620413871135,5.163620413871135,5.163620413871135,5.163620413871135
8.518816949232615,8.518816949232615,8.518816949232615,8.518816949232615
3.465300058908304,3.465300058908304,3.465300058908304,3.4653000589083036
7.69199467023479,7.69199467023479,7.69199467023479,7.691994670234789
7.058823529411765,7.058823529411765,7.058823529411765,7.058823529411765
7.847684956058709,7.847684956058709,7.847684956058709,7.84768495605871
4.026211696227283,4.026211696227283,4.026211696227283,4.026211696227283
4.973563328231661,4.973563328231661,4.973563328231661,4.973563328231661
